id,match,pred_sardas,pred_malhas,result
8e7ec753,Carballes Baena vs Rinderknech,3-2,1-3,1-3
,Mensik vs Jarry,3-1,3-1,3-0
,Shevchenko vs Fokina,1-3,0-3,0-3
,Shelton vs Buse,3-0,3-0,3-0
,Blanchet vs Marozsan,1-3,0-3,3-1
,Nava vs Fritz,0-3,0-3,0-3
,Dostanic vs Spizzirri,1-3,1-3,0-3
,Darderi vs Hijikata,3-1,3-2,3-0
,Lehecka vs Coric,3-0,3-1,
,Mannarino vs Griekspoor,3-1,1-3,
,Nardi vs Machac,1-3,2-3,0-3
,Svajda vs Piros,3-1,3-1,
,Carreno-Busta vs Llamas Ruiz,2-3,3-0,
,Ugo Carabelli vs Etcheverry,1-3,1-3,
,Kym vs Quinn,3-2,1-3,
,Thompson vs Moutet,1-3,1-3,
,Nakashima vs De Jong,3-1,3-2,
,Navone vs Giron,3-1,2-3,
,Djokovic vs Tien,3-1,3-1,
,Medvedev vs Bonzi,3-1,3-1,
